# cases.tsv — one line per (shape, hostile condition). Tab-separated:
# id	target	shape	params	expect	class	truth_params	note
# expect: rows:N | value:k=v;k=v | truth_range | truth_series | unique:col | error | record
# class = what a mismatch counts as: silent (plausible wrong answer) or wrong (visibly wrong)
# truth_params: "=" means reuse params; "-" means not applicable
#
# ── window-range family (b01-b04, b10, b11 all call v_cc_window_range) — scratch ──
wr01_unknown_platform	scratch	b02	p_start=2026-06-01 10:00:00;p_end=2026-06-01 11:00:00;p_platform=NOKIA_9000;p_country=*;p_content_id=-1	rows:0	silent	-	unknown dimension value must be empty, not a zero-row that reads as "nobody watched"
wr02_case_platform	scratch	b02	p_start=2026-06-01 10:00:00;p_end=2026-06-01 11:00:00;p_platform=Android_Phone;p_country=*;p_content_id=-1	rows:0	silent	-	case variant of a real value silently answers zero
wr03_star_platform	scratch	b02	p_start=2026-06-01 10:00:00;p_end=2026-06-01 11:00:00;p_platform=*;p_country=*;p_content_id=-1	value:peak=1	silent	-	a REAL platform named '*' is unqueryable: '*' means "all" in the interface, so the literal answer (peak 1) is unreachable
wr04_real_platform	scratch	b02	p_start=2026-06-01 10:00:00;p_end=2026-06-01 11:00:00;p_platform=ANDROID_PHONE;p_country=*;p_content_id=-1	truth_range	silent	=	baseline: an exact real value answers exactly
wr05_collision_rollup	scratch	b01	p_start=2026-06-01 10:00:00;p_end=2026-06-01 11:00:00;p_platform=*;p_country=*;p_content_id=-1	value:peak=8;integral=12180	silent	-	ADR 0022 hole: v_cc_window_range pins sentinels but NOT cube_level, so the real content_id=-1 curve is summed into the rollup
wr06_collision_content	scratch	b04	p_start=2026-06-01 10:00:00;p_end=2026-06-01 11:00:00;p_platform=*;p_country=*;p_content_id=-1	value:peak=1;integral=2340	silent	-	asking for the REAL content -1 (peak 1, integral 2340) is impossible: -1 means "all content" in the interface
wr07_unknown_content	scratch	b04	p_start=2026-06-01 10:00:00;p_end=2026-06-01 11:00:00;p_platform=*;p_country=*;p_content_id=777	rows:0	silent	-	unknown content id must be empty, not zero
wr08_inverted_range	scratch	b01	p_start=2026-06-01 11:00:00;p_end=2026-06-01 10:00:00;p_platform=*;p_country=*;p_content_id=-1	error	-	-	end before start must fail loudly (throwIf)
wr09_empty_range	scratch	b01	p_start=2026-06-01 10:30:00;p_end=2026-06-01 10:30:00;p_platform=*;p_country=*;p_content_id=-1	error	-	-	zero-length range must fail loudly, not divide by zero
wr10_zero_span	scratch	b01	p_start=2026-06-01 12:00:00;p_end=2026-06-01 14:00:00;p_platform=*;p_country=*;p_content_id=-1	value:peak=0;integral=0	wrong	-	range of genuinely zero concurrency: 0/0 is the CORRECT answer here
wr11_before_first	scratch	b01	p_start=2026-05-30 00:00:00;p_end=2026-05-31 00:00:00;p_platform=*;p_country=*;p_content_id=-1	value:peak=0;integral=0	wrong	-	range entirely before the first event: 0 is defensible but indistinguishable from "no data yet"
wr12_after_last	scratch	b01	p_start=2026-06-05 00:00:00;p_end=2026-06-06 00:00:00;p_platform=*;p_country=*;p_content_id=-1	value:peak=0;integral=0	wrong	-	range entirely after the last event: same caveat as wr11
wr13_one_minute	scratch	b01	p_start=2026-06-01 10:30:00;p_end=2026-06-01 10:31:00;p_platform=*;p_country=*;p_content_id=-1	truth_range	silent	=	exactly one minute (the peak minute: 8 for 60 s)
wr14_ragged	scratch	b11	p_start=2026-06-01 10:17:00;p_end=2026-06-01 11:31:00;p_platform=*;p_country=*;p_content_id=-1	truth_range	silent	=	ragged range: partial hour + hour tier + partial hour
wr15_mid_minute	scratch	b01	p_start=2026-06-01 10:17:30;p_end=2026-06-01 10:44:30;p_platform=*;p_country=*;p_content_id=-1	truth_range	silent	=	range starting and ending mid-MINUTE: sub-minute clipping at both edges
wr16_sub_minute	scratch	b01	p_start=2026-06-01 10:30:00;p_end=2026-06-01 10:30:30;p_platform=*;p_country=*;p_content_id=-1	truth_range	silent	=	30-second range inside one minute (integral must be 8x30=240)
wr17_hour_exact	scratch	b01	p_start=2026-06-01 19:00:00;p_end=2026-06-01 20:00:00;p_platform=*;p_country=*;p_content_id=-1	truth_range	silent	=	range exactly on hour boundaries over a session that ends exactly ON a boundary
wr18_full_span	scratch	b10	p_start=2026-06-01 00:00:00;p_end=2026-06-03 00:00:00;p_platform=*;p_country=*;p_content_id=-1	truth_range	silent	=	the whole fixture in one range
wr19_avg_zero_hours	scratch	b01	p_start=2026-06-01 10:00:00;p_end=2026-06-01 12:00:00;p_platform=*;p_country=*;p_content_id=-1	value:peak=8;integral=12180;avg_concurrent=1.69	wrong	-	time-weighted average must divide by the FULL range including the zero hour 11 (12180/7200=1.69)
#
# ── hour/day tier (b05, b12, b13, x04, x05) — scratch ──
ht01_no_data_day	scratch	b05	p_day=2026-06-05 00:00:00	rows:0	wrong	-	a day with no data serves EMPTY, not zeros — correct contrast to the window shape
ht02_day_hours	scratch	b05	p_day=2026-06-01 00:00:00	rows:11	wrong	-	exactly the 11 hours that carry activity
ht03_day_rollup	scratch	x05	p_day=2026-06-01	value:peak=8;peak_minute=2026-06-01 10:30:00;integral=33000;avg_concurrent=0.3819	wrong	-	hand-computed day truth: peak 8 first at 10:30, integral exactly 33000 s
ht04_day2	scratch	x05	p_day=2026-06-02	value:peak=1;integral=1860	wrong	-	second day: one 31-minute session
ht05_tie_earliest	scratch	x04	p_hour=2026-06-01 20:00:00	value:peak=1;peak_minute=2026-06-01 20:00:00;integral=120	wrong	-	ADR 0014: peak level reached at 20:00 AND 20:59 — earliest must win
ht06_empty_hour	scratch	x04	p_hour=2026-06-01 12:00:00	rows:0	wrong	-	an hour with no viewers is absent from the hour tier, not a zero row
ht07_middle_hour	scratch	x04	p_hour=2026-06-01 17:00:00	value:peak=1;integral=3600	wrong	-	middle hour of a 4-hour interval: no open/close events inside it, must still read peak 1 held all hour
ht08_lastminute_end	scratch	x04	p_hour=2026-06-01 14:00:00	value:peak=2;integral=4560	wrong	-	session ending at 14:59:59: the close in the last minute of the hour must not leak
ht09_no_leak_hour15	scratch	x04	p_hour=2026-06-01 15:00:00	value:peak=1;integral=1800	wrong	-	hour 15 must show ONLY the 15:30 session — a leaked close from 14:59:59 would corrupt it
ht10_b12_alldays	scratch	b12	-	rows:2	wrong	-	exactly the two days that exist
ht11_top_content_unique	scratch	b13	p_hour=2026-06-01 10:00:00	unique:content_id	wrong	-	a platform literally named '*' creates a cube-level-5 row that b13's sentinel filter cannot exclude - duplicate content rows
ht12_orphan_title	scratch	b13	p_hour=2026-06-01 10:00:00	record	-	-	recorded: orphan content 999 must render '(unknown)', and the REAL content -1 is excluded by b13's content_id != -1 filter
#
# ── minute-series family (b06, b07) — scratch ──
ms01_aligned_hour	scratch	b06	p_hour=2026-06-01 10:00:00	truth_series	silent	p_from=2026-06-01 10:00:00;p_to=2026-06-01 11:00:00	baseline: hour-aligned dashboard curve is exact
ms02_midhour	scratch	b06	p_hour=2026-06-01 10:30:00	truth_series	silent	p_from=2026-06-01 10:30:00;p_to=2026-06-01 11:30:00	b06 taken at a NON-aligned start: running sum loses the carry-in of 10:00-10:29 and reports a plausible wrong curve
ms03_empty_hour	scratch	b06	p_hour=2026-06-01 12:00:00	truth_series	wrong	p_from=2026-06-01 12:00:00;p_to=2026-06-01 13:00:00	quiet hour: the curve must be 60 explicit zeros
ms04_planted_case_twin	scratch	b07	p_hour=2026-06-01 10:00:00;p_platform=android_phone	truth_series	silent	p_from=2026-06-01 10:00:00;p_to=2026-06-01 11:00:00;p_platform=android_phone	lowercase twin EXISTS as its own value: equality serves it correctly (contrast wr02)
ms05_unknown_platform	scratch	b07	p_hour=2026-06-01 10:00:00;p_platform=NOKIA_9000	truth_series	silent	p_from=2026-06-01 10:00:00;p_to=2026-06-01 11:00:00;p_platform=NOKIA_9000	unknown platform yields an all-zero curve - numerically true, indistinguishable from a real quiet hour (see wr01)
#
# ── video-type shape (b08) — scratch ──
vt01_live	scratch	b08	p_day=2026-06-01 00:00:00;p_video_type=live	truth_range	silent	p_day=2026-06-01 00:00:00;p_contents=[101,-1]	catalog-driven filter incl. the real content -1 (it IS 'live' in the catalog)
vt02_unknown_type	scratch	b08	p_day=2026-06-01 00:00:00;p_video_type=stream	rows:0	silent	-	unknown video type: aggregate returns peak 0 + epoch peak_minute - zero-that-looks-like-an-answer
vt03_case_type	scratch	b08	p_day=2026-06-01 00:00:00;p_video_type=LIVE	rows:0	silent	-	case variant of a real video type answers zero
vt04_blank_type	scratch	b08	p_day=2026-06-01 00:00:00;p_video_type=	value:peak=0	wrong	-	blank video type matches the catalog row that HAS no sessions: 0 is right, but identical in shape to vt02's wrong 0
vt05_vod	scratch	b08	p_day=2026-06-01 00:00:00;p_video_type=vod	truth_range	silent	p_day=2026-06-01 00:00:00;p_contents=[102,103]	second catalog bucket, cross-checked independently
#
# ── partial IN-list shape (b09) — scratch ──
in01_pair	scratch	b09	p_day=2026-06-01 00:00:00;p_platforms=['ANDROID_PHONE','IOS_PHONE']	truth_range	silent	p_day=2026-06-01 00:00:00;p_platforms=['ANDROID_PHONE','IOS_PHONE']	the documented hour-tier fallback: partial filter recomputed at minute grain
in02_duplicates	scratch	b09	p_day=2026-06-01 00:00:00;p_platforms=['ANDROID_PHONE','ANDROID_PHONE']	truth_range	silent	p_day=2026-06-01 00:00:00;p_platforms=['ANDROID_PHONE']	duplicate IN entries must not double count (IN is a set)
in03_empty_list	scratch	b09	p_day=2026-06-01 00:00:00;p_platforms=[]	value:peak=0	wrong	-	empty IN list: zero is the honest answer for an empty set
in04_single_rare	scratch	b09	p_day=2026-06-01 00:00:00;p_platforms=['WEB_TV_RARE']	truth_range	silent	p_day=2026-06-01 00:00:00;p_platforms=['WEB_TV_RARE']	a value that exists in exactly ONE hour of the range
in05_mixed_unknown	scratch	b09	p_day=2026-06-01 00:00:00;p_platforms=['ANDROID_PHONE','NOKIA_9000']	truth_range	silent	p_day=2026-06-01 00:00:00;p_platforms=['ANDROID_PHONE']	unknown member of the list contributes nothing, silently - the real member still answers
in06_huge_list	scratch	b09	p_day=2026-06-01 00:00:00;p_platforms=@HUGE_PLATFORMS@	truth_range	silent	p_day=2026-06-01 00:00:00;p_platforms=@HUGE_PLATFORMS@	500-element IN list (every real platform + 490 fakes) must equal the unfiltered day
#
# ── cross-dimension probes (x01-x03) — scratch ──
xd01_hour_tier_audio	scratch	x01	p_audio=hin	error	-	-	filtering the hour tier by a dimension it does not carry fails LOUDLY (Code 47), never silently unfiltered
xd02_raw_hindi	scratch	x02	p_start=2026-06-01 00:00:00;p_end=2026-06-02 00:00:00;p_audio=hin	value:peak=2	wrong	-	raw equality sees 2 of the 4 concurrent Hindi spellings - the ADR 0011 hole, on designed data
xd03_norm_hindi	scratch	x03	p_start=2026-06-01 00:00:00;p_end=2026-06-02 00:00:00;p_audio=HIN	value:peak=4	wrong	-	norm_lang on BOTH sides folds all four spellings regardless of which one the caller typed
xd04_devanagari	scratch	x03	p_start=2026-06-01 00:00:00;p_end=2026-06-02 00:00:00;p_audio=हिन्दी	value:peak=1	wrong	-	Devanagari spelling is NOT merged by the subtag rule - its own visible bucket, by design (drift audit catches it)
#
# ── cloud (graded database, READ-ONLY) — deployed-behaviour mirror ──
cw01_unknown_platform	cloud	b02	p_start=2026-07-26 00:00:00;p_end=2026-07-27 00:00:00;p_platform=NOKIA_9000;p_country=*;p_content_id=-1	rows:0	silent	-	deployed window view: unknown platform
cw02_case_platform	cloud	b02	p_start=2026-07-26 00:00:00;p_end=2026-07-27 00:00:00;p_platform=android_phone;p_country=*;p_content_id=-1	rows:0	silent	-	deployed: case variant of ANDROID_PHONE
cw03_inverted_range	cloud	b01	p_start=2026-07-26 12:00:00;p_end=2026-07-26 10:00:00;p_platform=*;p_country=*;p_content_id=-1	error	-	-	deployed view is pre-ADR-0014 - does it still refuse an inverted range?
cw04_empty_range	cloud	b01	p_start=2026-07-26 10:00:00;p_end=2026-07-26 10:00:00;p_platform=*;p_country=*;p_content_id=-1	error	-	-	deployed: zero-length range
cw05_before_first	cloud	b01	p_start=2026-07-01 00:00:00;p_end=2026-07-02 00:00:00;p_platform=*;p_country=*;p_content_id=-1	value:peak=0;integral=0	wrong	-	deployed: range before the first event
cw06_real_platform	cloud	b02	p_start=2026-07-26 00:00:00;p_end=2026-07-27 00:00:00;p_platform=ANDROID_PHONE;p_country=*;p_content_id=-1	truth_range	silent	=	deployed serving vs graded intervals, through the bench shape itself
cw07_ragged	cloud	b11	p_start=2026-07-26 10:17:00;p_end=2026-07-26 11:31:00;p_platform=*;p_country=*;p_content_id=-1	truth_range	silent	=	deployed ragged decomposition vs independent truth
cw08_mid_minute	cloud	b01	p_start=2026-07-26 10:17:30;p_end=2026-07-26 10:44:30;p_platform=*;p_country=*;p_content_id=-1	truth_range	silent	=	deployed: sub-minute range edges
cw09_one_minute	cloud	b01	p_start=2026-07-26 10:56:00;p_end=2026-07-26 10:57:00;p_platform=*;p_country=*;p_content_id=-1	truth_range	silent	=	deployed: the known peak minute alone (2887)
cw10_duplicates	cloud	b09	p_day=2026-07-26 00:00:00;p_platforms=['ANDROID_PHONE','ANDROID_PHONE']	truth_range	silent	p_day=2026-07-26 00:00:00;p_platforms=['ANDROID_PHONE']	deployed: duplicate IN entries
cw11_empty_list	cloud	b09	p_day=2026-07-26 00:00:00;p_platforms=[]	value:peak=0	wrong	-	deployed: empty IN list
cw12_huge_list	cloud	b09	p_day=2026-07-26 00:00:00;p_platforms=@HUGE_PLATFORMS@	truth_range	silent	p_day=2026-07-26 00:00:00;p_platforms=@HUGE_PLATFORMS@	deployed: 500-element IN list vs unfiltered truth
